country,trees_no,land_area_km,continent,Population
Afghanistan,363350272,652860,Asia,33371000
Albania,1075789312,27400,Europe,2896000
Algeria,835195712,2381740,Africa,38924000
American Samoa,2733980,200,Oceania,56000
Andorra,23110062,470,Europe,79000
Angola,42050605056,1246700,Africa,26942000
Antigua and Barbuda,7557658.5,440,Americas,93000
Argentina,50239651840,2736690,Americas,42638000
Armenia,401684608,28470,Asia,2912000
Aruba,62972.375,180,Americas,104000
Australia,76714500096,7682300,Oceania,23596000
Austria,3075817472,82523,Europe,8615000
Azerbaijan,774163904,82663,Asia,9506000
Bahamas,172517984,10010,Americas,371000
Bahrain,3034,771,Asia,1336000
Bangladesh,962728512,130170,Asia,154517000
Barbados,4538993.5,430,Americas,285000
Belarus,5708252672,202910,Europe,9432000
Belgium,528807456,30280,Europe,11221000
Belize,1206968576,22810,Americas,353000
Benin,2060631680,112760,Africa,10287000
Bermuda,48299.10938,50,Americas,64000
Bhutan,1851211264,38117,Asia,719000
Bolivia,59277484032,1083300,Americas,10707000
Bosnia and Herzegovina,1971107584,51200,Europe,3482000
Botswana,8090545152,566730,Africa,2089000
Brazil,3.02E+11,8358140,Americas,202764000
British Virgin Islands,1358791.25,150,Americas,29000
Brunei,362057792,5270,Asia,410000
Bulgaria,2789703168,108560,Europe,7246000
Burkina Faso,1020747520,273600,Africa,17586000
Burundi,379962624,25680,Africa,9844000
Cambodia,5550584320,176520,Asia,15275000
Cameroon,19430844416,472710,Africa,22682000
Canada,3.18E+11,9093510,Americas,35664000
Cape Verde,21382088,4030,Africa,518000
Cayman Islands,5952453,240,Americas,61000
Central African Rep.,24261509120,622980,Africa,4464000
Chad,4657983488,1259200,Africa,13664000
Chile,19183013888,743532,Americas,17759000
China,1.40E+11,9388211,Asia,1399454000
Colombia,51425353728,1109500,Americas,46968000
Comoros,71864784,1861,Africa,759000
Congo,14476389376,341500,Africa,4737000
Costa Rica,1907686400,51060,Americas,4795000
Cote d'Ivoire,7268032000,318000,Africa,22648000
Croatia,2347630080,55960,Europe,4256000
Cuba,2295274496,104020,Americas,11307000
Curacao,1503070,444,Americas,158000
Cyprus,63088928,9240,Asia,1152000
Czech Republic,2029378816,77210,Europe,10591000
Dem. Rep. Congo,1.01E+11,2267050,Africa,73767000
Denmark,303744992,41990,Europe,5664000
Djibouti,1359610.875,23180,Africa,899000
Dominica,36888112,750,Americas,71000
Dominican Republic,1076733696,48310,Americas,10165000
Ecuador,10311026688,248360,Americas,15952000
Egypt,68253608,995450,Africa,90425000
El Salvador,408137600,20720,Americas,6295000
Equatorial Guinea,1677304448,28050,Africa,1122000
Eritrea,303284512,101000,Africa,3311000
Estonia,1864416640,42390,Europe,1316000
Ethiopia,13831444480,1000000,Africa,98094000
Faeroe Islands,105559312,1396,Europe,48000
Fiji,157028640,18270,Oceania,866000
Finland,24375093248,303890,Europe,5461000
France,12061049856,547557,Europe,64194000
French Polynesia,29777000,3660,Americas,272000
Gabon,13914430464,257670,Africa,1884000
Gambia,51556520,10120,Africa,2024000
Georgia,2511206144,69490,Asia,4035000
Germany,8627454976,348900,Europe,81450000
Ghana,4554743808,227540,Africa,27224000
Gibraltar,14662.18555,10,Europe,34000
Greece,3228877056,128900,Europe,10701000
Greenland,279451904,410450,Americas,56000
Grenada,10501244,340,Americas,109000
Guam,1555332.875,540,Oceania,161000
Guatemala,4663245824,107160,Americas,15923000
Guinea,8895597568,245720,Africa,11151000
Guinea-Bissau,1023119744,28120,Africa,1692000
Guyana,11807313920,196850,Americas,763000
Haiti,148971808,27560,Americas,10549000
Honduras,4725467136,111890,Americas,8956000
Hong Kong,29745610,1050,Asia,7135000
Hungary,983371136,90530,Europe,9805000
Iceland,662753024,100250,Europe,329000
India,35181322240,2973190,Asia,1295601000
Indonesia,80665804800,1811570,Asia,255128000
Iran,2269082112,1628760,Asia,77466000
Iraq,522965664,434320,Asia,34412000
Ireland,708511936,68890,Europe,4627000
Isle of Man,10181441,570,Europe,83000
Israel,12726418,21640,Asia,7854000
Italy,8801768448,294140,Europe,60410000
Jamaica,433465696,10830,Americas,2875000
Japan,18616717312,364560,Asia,128169000
Jordan,2508885.75,88780,Asia,8919000
Kazakhstan,6124535808,2699700,Asia,17303000
Kenya,3048628736,569140,Africa,46700000
