Entity,Code,Number of trees,,Land area (sq. km)
Afghanistan,AFG,363350272,,652860
Albania,ALB,1075789312,,27400
Algeria,DZA,835195712,,2381740
American Samoa,ASM,2733980,,200
Andorra,AND,23110062,,470
Angola,AGO,42050605056,,1246700
Anguilla,AIA,128658.7422,,440
Antigua and Barbuda,ATG,7557658.5,,13621412
Argentina,ARG,50239651840,,2736690
Armenia,ARM,401684608,,28470
Aruba,ABW,62972.375,,180
Australia,AUS,76714500096,,7682300
Austria,AUT,3075817472,,82523
Azerbaijan,AZE,774163904,,82663
Bahamas,BHS,172517984,,10010
Bahrain,BHR,3034,,771
Bangladesh,BGD,962728512,,130170
Barbados,BRB,4538993.5,,430
Belarus,BLR,5708252672,,202910
Belgium,BEL,528807456,,30280
Belize,BLZ,1206968576,,22810
Benin,BEN,2060631680,,112760
Bermuda,BMU,48299.10938,,50
Bhutan,BTN,1851211264,,38117
Bolivia,BOL,59277484032,,1083300
Bonaire Sint Eustatius and Saba,BES,1142610.125,,51200
Bosnia and Herzegovina,BIH,1971107584,,566730
Botswana,BWA,8090545152,,8358140
Brazil,BRA,3.02E+11,,150
British Indian Ocean Territory,IOT,42790.3,,5270
British Virgin Islands,VGB,1358791.25,,108560
Brunei,BRN,362057792,,273600
Bulgaria,BGR,2789703168,,25680
Burkina Faso,BFA,1020747520,,176520
Burundi,BDI,379962624,,472710
Cambodia,KHM,5550584320,,9093510
Cameroon,CMR,19430844416,,4030
Canada,CAN,3.18E+11,,404850
Cape Verde,CPV,21382088,,240
Cayman Islands,CYM,5952453,,622980
Central African Republic,CAF,24261509120,,1103976
Chad,TCD,4657983488,,1259200
Chile,CHL,19183013888,,190
China,CHN,1.4E+11,,743532
Christmas Island,CXR,564691.8125,,9388211
Colombia,COL,51425353728,,1109500
Comoros,COM,71864784,,1861
Congo,COG,14476389376,,341500
Cook Islands,COK,2450550,,51060
Costa Rica,CRI,1907686400,,318000
Cote d'Ivoire,CIV,7268032000,,55960
Croatia,HRV,2347630080,,104020
Cuba,CUB,2295274496,,444
Curacao,CUW,1503070,,9240
Cyprus,CYP,63088928,,77210
Czech Republic,CZE,2029378816,,2267050
Democratic Republic of Congo,COD,1.01E+11,,41990
Denmark,DNK,303744992,,23180
Djibouti,DJI,1359610.875,,750
Dominica,DMA,36888112,,48310
Dominican Republic,DOM,1076733696,,33107714
Ecuador,ECU,10311026688,,24387020.3
Egypt,EGY,68253608,,15793351
El Salvador,SLV,408137600,,15913501
Equatorial Guinea,GNQ,1677304448,,248360
Eritrea,ERI,303284512,,995450
Estonia,EST,1864416640,,20720
Ethiopia,ETH,13831444480,,28050
Faeroe Islands,FRO,105559312,,101000
Falkland Islands,FLK,187163536,,42390
Fiji,FJI,157028640,,1000000
Finland,FIN,24375093248,,2678181
France,FRA,12061049856,,27439366
French Guiana,GUF,5058747904,,22984216
French Polynesia,PYF,29777000,,22622066
Gabon,GAB,13914430464,,4237941
Gambia,GMB,51556520,,1396
Georgia,GEO,2511206144,,18270
Germany,DEU,8627454976,,303890
Ghana,GHA,4554743808,,15309698
Gibraltar,GIB,14662.18555,,547557
Greece,GRC,3228877056,,3660
Greenland,GRL,279451904,,257670
Grenada,GRD,10501244,,10120
Guadeloupe,GLP,56673696,,69490
Guam,GUM,1555332.875,,348900
Guatemala,GTM,4663245824,,227540
Guernsey,GGY,193486.0938,,10
Guinea,GIN,8895597568,,128900
Guinea-Bissau,GNB,1023119744,,410450
Guyana,GUY,11807313920,,340
Haiti,HTI,148971808,,540
Honduras,HND,4725467136,,107160
Hong Kong,HKG,29745610,,245720
Hungary,HUN,983371136,,28120
Iceland,ISL,662753024,,196850
India,IND,35181322240,,27560
Indonesia,IDN,80665804800,,19754791
Iran,IRN,2269082112,,37884334.7
Iraq,IRQ,522965664,,111890
Ireland,IRL,708511936,,1050
Isle of Man,IMN,10181441,,90530
Israel,ISR,12726418,,69397186
Italy,ITA,8801768448,,95716397
Jamaica,JAM,433465696,,5937530
Japan,JPN,18616717312,,20381681
Jersey,JEY,328057.4688,,26319211
Jordan,JOR,2508885.75,,100250
Kazakhstan,KAZ,6124535808,,2973190
Kenya,KEN,3048628736,,1811570
Kiribati,KIR,998900,,1628760
Kosovo,OWID_KOS,241295664,,434320
Kuwait,KWT,61079.32813,,68890
Kyrgyzstan,KGZ,1175723264,,570
Laos,LAO,9979317248,,21640
Latvia,LVA,2497626112,,294140
Lebanon,LBN,28016004,,10830
Lesotho,LSO,677510656,,364560
Liberia,LBR,3352903168,,88780
Libya,LBY,27197640,,2699700
Liechtenstein,LIE,6079023,,569140
Lithuania,LTU,1474331136,,810
Luxembourg,LUX,55504704,,10887
Macao,MAC,19784.8,,17820
Macedonia,MKD,644802752,,191800
Madagascar,MDG,22365331456,,230800
